0.69 0.68 0.79 0.36 
0.89 0.40 0.23 0.83 
0.83 0.20 0.08 0.88 
0.31 0.79 0.39 0.67 
0.53 0.41 0.85 0.25 
0.18 0.44 0.17 0.15 
0.45 0.83 0.95 0.68 
0.87 0.06 0.45 0.56 
0.75 0.26 0.55 0.38 
0.16 0.84 0.19 0.33 
0.01 0.41 0.47 0.10 
0.82 0.14 0.11 0.60 
0.20 0.12 0.40 0.11 
0.61 0.99 0.34 0.33 
0.03 0.93 0.46 0.50 
0.88 0.39 0.43 0.70 
0.65 0.79 0.09 0.29 
0.94 0.60 0.72 0.28 
0.16 0.88 0.22 0.23 
0.46 0.79 0.32 0.25 
0.26 0.95 0.05 0.18 
0.43 0.20 0.20 0.07 
0.86 0.17 0.45 0.17 
0.20 0.26 0.81 0.72 
0.75 0.79 0.55 0.39 
0.16 0.33 0.01 0.38 
0.39 0.10 0.64 0.59 
0.17 0.41 0.15 0.05 
0.69 0.07 0.19 0.32 
0.87 0.77 0.67 0.58 
0.81 0.65 0.26 0.38 
0.64 0.07 0.10 0.39 
0.96 0.30 0.57 0.63 
0.87 0.10 0.99 0.92 
0.96 0.35 0.13 0.56 
0.89 0.57 0.71 0.96 
0.28 0.15 0.36 0.15 
0.28 0.45 0.96 0.24 
0.24 0.98 0.16 0.38 
0.70 0.51 0.32 0.37 
0.57 0.72 0.67 0.48 
0.15 0.97 0.14 0.14 
0.19 0.82 0.23 0.26 
0.07 0.58 0.86 0.23 
0.64 0.44 0.75 0.08 
0.63 0.37 0.28 0.87 
0.37 0.06 0.28 0.36 
0.92 0.72 0.47 0.04 
0.30 0.56 0.09 0.02 
0.49 0.95 0.76 0.32 
0.60 0.46 0.14 0.71 
0.81 0.00 0.46 0.71 
0.27 0.06 0.90 0.27 
0.40 0.22 0.27 0.94 
0.08 0.46 0.31 0.55 
0.27 0.84 0.33 0.95 
0.58 0.81 0.41 0.48 
0.02 0.07 0.44 0.21 
0.09 0.61 0.33 0.01 
0.40 0.36 0.92 0.34 
0.97 0.11 0.36 0.51 
0.19 0.54 0.53 0.64 
0.91 0.78 0.43 0.14 
0.11 0.42 0.01 0.49 
0.13 0.62 0.74 0.29 
0.78 0.83 0.72 0.72 
0.67 0.27 0.23 0.89 
0.94 0.50 0.14 0.02 
0.55 0.47 0.24 0.74 
0.41 0.97 0.01 0.45 
0.95 0.20 0.00 0.50 
0.55 0.86 0.97 0.81 
0.38 0.64 0.16 0.33 
0.85 0.71 0.63 0.07 
0.55 0.58 0.95 0.99 
0.17 0.28 0.60 0.74 
0.49 0.79 0.58 0.03 
0.94 0.16 0.03 0.12 
0.74 0.73 0.22 0.97 
0.34 0.98 0.74 0.74 
0.83 0.36 0.25 0.68 
0.68 0.17 0.77 0.55 
0.14 0.34 0.40 0.22 
0.28 0.44 0.50 0.96 
0.54 0.27 0.96 0.93 
0.55 0.11 0.18 0.57 
0.11 0.46 0.66 0.54 
0.04 0.94 0.88 0.88 
0.29 0.13 0.78 0.14 
0.21 0.63 0.85 0.31 
0.54 0.51 0.32 0.74 
0.63 0.62 0.88 0.04 
0.93 0.53 0.53 0.89 
0.94 0.89 0.75 0.57 
0.90 0.74 0.47 0.09 
0.04 0.69 0.17 0.34 
0.16 0.55 0.46 0.25 
0.58 0.19 0.38 0.45 
0.94 0.98 0.29 0.69 
0.45 0.17 0.33 0.13 
